t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z
7.9,-2.25593601073011,-0.734516866188571,1,0.920386667910073,-0.0905598781287698,0.148094297958771,0.350364622812854,-0.442937788938096,3.52643969434112,-9.31140078829505e-16,0.927617878376141,-0.683680646182194,0.222680874909766,2.18334373106517,2.82351401236872,-2.16497074843352e-16,0,0,0
8,-2.28919530898433,-0.369879597533312,1,0.918684952950132,-0.0280948796141609,0.131571446512613,0.371372574950089,-0.221166940336934,3.74456832710749,-9.48457219176627e-16,0.998736247595778,-0.863248155743124,0.229522560680004,2.24820048319649,1.52010066229603,-1.29252573818447e-16,0,0,0
8.1,-2.29999236576064,0.00988521713808318,1,0.915142394672717,0.0385730884585438,0.107866694633781,0.386511695176532,0.00591195090501389,3.82752422734985,-9.56889822997532e-16,1.00253146547568,-0.98746962344967,0.232944483340767,2.2893571715875,0.128788714461163,-3.89860523764418e-17,0,0,0
8.2,-2.28791621797898,0.390909964858669,1,0.909527482936251,0.104560102317238,0.0794372363810534,0.394356017150996,0.235889985727153,3.76920941482054,-9.56190072415331e-16,0.936953791045272,-1.02465990017477,0.231924693572188,2.30608929453073,-1.29593242912562,5.32105982589938e-17,0,0,0
8.3,-2.2527998813967,0.758995193701853,1,0.902102933597711,0.165110767653752,0.0497136402384093,0.395572099083642,0.466301820497809,3.56913006866102,-9.46220349024567e-16,0.816951154315297,-0.972313655315269,0.226769516162769,2.2979923250474,-2.69687713538831,1.46227780946237e-16,0,0,0
8.4,-2.19472439823497,1.1001793800014,1,0.893576891028813,0.216860169544908,0.0216741782673807,0.392456668538922,0.694657556714961,3.23254183631143,-9.26954264385018e-16,0.666293552407119,-0.855515792986177,0.218944068912025,2.26497890274819,-4.01666457994715,2.3895288852512e-16,0,0,0
8.5,-2.11401971623944,1.40131062290096,1,0.884811780679868,0.258265623986091,-0.00301446912575148,0.387811672352814,0.918474160609116,2.77034257925923,-8.98476254538668e-16,0.506422697206235,-0.707439470654368,0.210294545207537,2.20727230462767,-5.20024931083863,3.30284310333667e-16,0,0,0
8.6,-2.01126246415244,1.6505950580933,1,0.876527749030143,0.289189951136853,-0.0239341744765545,0.384051341143005,1.13530605958716,2.198715466128,-8.60979812235617e-16,0.350563592432093,-0.552732922903526,0.202368697600799,2.12539657221279,-6.19736460616275,4.19144658110568e-16,0,0,0
8.7,-1.88727072202922,1.83809764985976,0.999999999999999,0.869173755060681,0.310190203513783,-0.0413859709194037,0.382891920218815,1.34277459911187,1.53853675169933,-8.14764438642578e-16,0.203904474784719,-0.403076917908377,0.196184252955773,2.02016365045181,-6.96476764264665,5.04493139979566e-16,0,0,0
8.8,-1.74309591473198,1.95617299358427,0.999999999999999,0.862944132491721,0.321945140025449,-0.0558797125168801,0.385429901202717,1.53859607800923,0.814573188364974,-7.60231402623487e-16,0.0663568372818416,-0.26009028760384,0.192312219483454,1.89265787095112,-7.46818605188959,5.85337026851664e-16,0,0,0
